SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
2990_000.4,4.0,0.78,0.52,0.85,0.72,0.48,0.78,0.6,0.41,0.72
2990_000.8,4.0,0.34,0.25,0.4,0.31,0.23,0.37,0.26,0.2,0.33
2991_000.0,5.0,0.16,0.11,0.2,0.14,0.1,0.18,0.12,0.09,0.17
2991_000.7,5.0,0.08,0.06,0.13,0.08,0.05,0.12,0.06,0.05,0.11
2991_001.2,5.0,0.07,0.07,0.15,0.06,0.06,0.14,0.05,0.05,0.13
2993_000.0,5.0,0.2,0.22,0.5,0.19,0.2,0.46,0.15,0.17,0.42
2994_000.0,5.0,0.53,0.44,0.6,0.49,0.4,0.55,0.4,0.34,0.51
2994_000.7,5.0,0.27,0.26,0.4,0.25,0.24,0.37,0.21,0.21,0.33
2995_001.1,5.0,0.19,0.22,0.42,0.17,0.2,0.39,0.14,0.18,0.35
2995_002.6,4.0,0.21,0.15,0.23,0.19,0.13,0.21,0.16,0.12,0.19
2995_003.7,4.0,0.13,0.09,0.14,0.12,0.09,0.13,0.1,0.07,0.11
2996_000.0,5.0,1.31,1.18,1.34,1.28,1.15,1.32,1.06,0.98,1.21
2996_000.1,5.0,2.03,0.78,3.05,1.99,0.72,2.99,1.64,0.62,2.76
2996_000.3,4.0,0.55,0.39,0.73,0.51,0.36,0.68,0.42,0.31,0.62
2998_000.0,33.0,0.86,0.52,0.92,0.79,0.48,0.88,0.68,0.38,0.79
2998_000.8,4.0,0.32,0.27,0.4,0.29,0.25,0.37,0.25,0.21,0.33
2998_001.5,4.0,0.07,0.09,0.14,0.07,0.08,0.12,0.06,0.07,0.11
2998_002.3,4.0,0.1,0.08,0.15,0.09,0.08,0.14,0.08,0.07,0.12
2999_000.0,3.0,0.64,0.43,0.77,0.59,0.4,0.71,0.49,0.34,0.65
2999_000.3,3.0,0.5,0.45,0.9,0.46,0.41,0.86,0.38,0.35,0.79
2999_000.6,3.0,0.53,0.41,0.72,0.49,0.38,0.67,0.41,0.32,0.61
2999_001.3,3.0,0.5,0.38,0.71,0.46,0.35,0.65,0.39,0.3,0.59
2999_001.5,4.0,0.26,0.23,0.63,0.24,0.22,0.58,0.2,0.19,0.52
2999_003.4,4.0,0.32,0.2,0.41,0.3,0.19,0.38,0.24,0.16,0.35
2999_003.8,4.0,0.24,0.3,0.54,0.22,0.28,0.5,0.19,0.24,0.46
3000_000.0,4.0,0.67,0.63,0.88,0.61,0.58,0.81,0.51,0.5,0.73
3000_000.4,4.0,0.9,0.81,1.08,0.85,0.75,1.06,0.71,0.65,0.95
3000_001.1,4.0,0.46,0.34,0.47,0.42,0.31,0.43,0.35,0.27,0.4
