SEGID,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0015_285.8,0.89,0.71,0.92,0.78,0.62,0.81,0.67,0.55,0.77
0015_286.8,0.89,0.74,0.95,0.82,0.68,0.9,0.74,0.6,0.85
0015_288.2,0.81,0.64,0.9,0.75,0.58,0.83,0.68,0.52,0.79
0015_289.8,1.0,0.81,1.03,0.95,0.74,1.01,0.86,0.66,0.96
0015_291.4,0.95,0.81,0.95,0.9,0.74,0.9,0.81,0.66,0.86
0015_292.6,0.93,0.85,0.95,0.88,0.78,0.9,0.8,0.69,0.85
0015_293.0,0.96,0.88,0.99,0.91,0.81,0.96,0.82,0.72,0.91
0015_293.6,0.96,0.88,0.99,0.91,0.81,0.96,0.82,0.72,0.91
0015_295.6,1.05,1.02,1.17,1.03,0.99,1.15,0.92,0.88,1.09
0015_297.9,1.11,0.98,1.09,1.09,0.93,1.07,0.98,0.83,1.02
0015_299.0,1.05,0.95,1.0,1.02,0.9,0.97,0.92,0.8,0.92
0015_300.3,1.17,1.03,1.16,1.15,1.01,1.14,1.03,0.9,1.08
0015_301.7,1.17,1.05,1.19,1.14,1.03,1.17,1.03,0.92,1.11
0015_302.5,1.17,1.05,1.19,1.14,1.03,1.17,1.03,0.92,1.11
0015_303.4,1.11,1.03,1.09,1.09,1.0,1.07,0.98,0.89,1.01
0015_304.7,1.33,1.36,2.13,1.3,1.33,2.08,1.17,1.19,1.98
0015_305.2,1.25,1.13,1.23,1.23,1.11,1.2,1.11,0.99,1.14
0015_305.9,1.08,0.98,1.08,1.06,0.95,1.06,0.95,0.85,1.0
0015_306.3,1.28,1.15,1.38,1.26,1.13,1.35,1.13,1.01,1.29
0015_307.2,1.19,1.04,1.33,1.17,1.02,1.31,1.05,0.91,1.24
0015_307.5,1.18,0.94,1.49,1.16,0.89,1.46,1.04,0.8,1.39
0015_307.6,0.84,0.7,0.85,0.77,0.65,0.78,0.7,0.57,0.74
0015_307.8,0.88,0.74,0.9,0.81,0.68,0.85,0.73,0.61,0.81
0015_308.4,0.91,0.77,0.9,0.86,0.71,0.86,0.78,0.63,0.82
0015_309.3,0.99,0.91,0.95,0.96,0.86,0.9,0.87,0.77,0.86
0015_310.2,0.98,0.92,0.97,0.93,0.85,0.92,0.84,0.75,0.88
0015_311.4,0.95,0.85,0.94,0.87,0.75,0.82,0.74,0.66,0.79
0015_311.8,1.21,1.09,1.22,1.19,1.07,1.2,1.07,0.95,1.14
0015_313.7,0.98,0.91,1.01,0.95,0.84,0.98,0.86,0.75,0.93
0015_315.3,0.96,0.84,0.99,0.91,0.78,0.94,0.82,0.69,0.9
0015_316.9,0.99,0.85,0.99,0.94,0.78,0.96,0.84,0.7,0.91
0015_317.6,0.83,0.7,0.85,0.76,0.64,0.78,0.69,0.57,0.74
0015_318.3,0.93,0.79,0.97,0.89,0.73,0.92,0.8,0.65,0.88
0015_319.5,1.0,0.82,1.01,0.95,0.76,0.98,0.85,0.68,0.93
0015_321.0,1.0,0.82,1.01,0.95,0.76,0.98,0.85,0.68,0.93
0015_322.0,0.95,0.77,0.98,0.9,0.7,0.94,0.81,0.63,0.89
0015_323.8,0.68,0.59,0.88,0.63,0.54,0.81,0.57,0.48,0.77
0015_324.4,1.03,0.85,0.95,1.01,0.78,0.9,0.91,0.7,0.86
0015_325.6,1.0,0.84,0.97,0.97,0.77,0.92,0.87,0.69,0.87
0015_328.7,1.11,1.0,1.25,1.09,0.95,1.23,0.98,0.84,1.16
0015_330.1,1.03,0.9,1.05,1.01,0.85,1.03,0.91,0.76,0.98
0015_331.6,1.1,0.96,1.21,1.08,0.92,1.19,0.97,0.82,1.13
0015_332.9,1.09,0.98,1.11,1.07,0.94,1.09,0.97,0.83,1.03
0015_334.1,1.07,0.96,1.14,1.05,0.92,1.12,0.94,0.82,1.06
0015_335.8,1.06,0.95,1.12,1.04,0.9,1.1,0.94,0.8,1.04
0015_337.0,1.06,0.94,1.12,1.04,0.9,1.1,0.93,0.8,1.04
0015_338.5,0.97,0.88,1.05,0.92,0.81,1.03,0.83,0.72,0.98
0015_339.1,0.97,0.82,1.01,0.92,0.75,0.98,0.83,0.67,0.93
0015_340.3,0.87,0.68,0.92,0.8,0.63,0.87,0.72,0.56,0.83
0015_342.0,0.92,0.7,0.98,0.85,0.64,0.93,0.76,0.57,0.88
0015_343.1,0.65,0.53,0.84,0.6,0.49,0.77,0.54,0.43,0.73
0015_343.9,0.73,0.52,0.71,0.65,0.46,0.63,0.56,0.41,0.6
0015_345.0,0.79,0.57,0.79,0.73,0.53,0.72,0.66,0.47,0.69
0015_346.7,0.7,0.49,0.66,0.62,0.43,0.58,0.53,0.38,0.56
0015_349.4,0.55,0.41,0.59,0.49,0.36,0.52,0.42,0.32,0.5
0015_351.9,0.57,0.43,0.67,0.5,0.38,0.59,0.43,0.34,0.56
0015_357.6,0.58,0.39,0.58,0.51,0.34,0.51,0.38,0.29,0.48
0015_362.0,0.49,0.35,0.56,0.43,0.31,0.49,0.37,0.27,0.47
0015_363.7,0.51,0.36,0.52,0.45,0.31,0.46,0.39,0.28,0.44
0015_365.5,0.48,0.29,0.41,0.43,0.25,0.36,0.31,0.22,0.34
0026_000.0,0.49,0.33,0.65,0.45,0.31,0.6,0.37,0.27,0.54
0026_000.2,0.47,0.34,0.64,0.44,0.31,0.59,0.36,0.27,0.53
0026_000.4,0.99,0.78,1.01,0.94,0.72,0.98,0.79,0.62,0.88
0026_000.7,0.95,0.77,1.01,0.91,0.7,0.98,0.76,0.61,0.88
0026_001.0,0.97,0.78,1.03,0.92,0.72,1.0,0.77,0.62,0.9
0026_001.3,1.03,0.84,1.1,1.01,0.77,1.08,0.84,0.67,0.97
0026_001.8,1.08,0.87,1.14,1.06,0.8,1.12,0.87,0.68,1.03
0026_002.7,1.08,0.88,1.17,1.06,0.81,1.14,0.88,0.69,1.05
0026_003.0,0.24,0.26,0.39,0.22,0.24,0.36,0.19,0.21,0.33
0026_003.2,0.29,0.3,0.45,0.26,0.27,0.41,0.22,0.23,0.38
0026_003.3,0.34,0.32,0.45,0.31,0.29,0.42,0.26,0.25,0.39
0026_003.5,0.35,0.27,0.38,0.32,0.25,0.35,0.27,0.21,0.32
0037_000.0,0.97,0.75,1.0,0.92,0.69,0.97,0.77,0.6,0.87
0037_001.0,1.02,0.81,0.98,0.99,0.75,0.95,0.82,0.65,0.86
0037_001.5,0.96,0.82,1.07,0.91,0.76,1.05,0.76,0.66,0.94
0037_002.0,0.92,0.78,0.98,0.88,0.72,0.95,0.73,0.63,0.86
0037_003.0,0.19,0.16,0.23,0.17,0.14,0.21,0.14,0.13,0.19
0037_003.5,0.19,0.16,0.22,0.17,0.14,0.2,0.14,0.12,0.17
0037_004.1,0.16,0.13,0.18,0.14,0.12,0.16,0.11,0.1,0.15
0037_004.5,0.13,0.09,0.19,0.11,0.08,0.16,0.09,0.07,0.15
0037_005.7,0.17,0.1,0.22,0.15,0.08,0.2,0.12,0.07,0.18
0037_006.2,0.13,0.1,0.2,0.12,0.09,0.18,0.1,0.07,0.15
0037_006.7,0.16,0.14,0.26,0.14,0.12,0.23,0.11,0.11,0.2
0037_007.2,0.22,0.14,0.27,0.19,0.12,0.24,0.16,0.1,0.21
0037_009.0,0.24,0.14,0.29,0.21,0.13,0.25,0.17,0.11,0.22
0037_009.6,0.24,0.13,0.35,0.21,0.12,0.31,0.18,0.1,0.27
0037_010.0,0.37,0.24,0.44,0.32,0.21,0.39,0.27,0.18,0.34
0037_010.5,0.37,0.24,0.44,0.33,0.21,0.39,0.27,0.18,0.34
0037_011.5,0.43,0.24,0.5,0.39,0.22,0.46,0.33,0.19,0.41
0038_000.0,0.11,0.07,0.12,0.1,0.07,0.11,0.09,0.06,0.1
0038_000.5,0.15,0.1,0.13,0.13,0.09,0.12,0.11,0.08,0.1
0038_003.2,0.12,0.08,0.1,0.11,0.07,0.09,0.09,0.06,0.09
0039_000.0,0.29,0.22,0.33,0.25,0.19,0.29,0.21,0.17,0.27
0039_000.5,0.34,0.21,0.39,0.3,0.18,0.34,0.25,0.16,0.32
0039_001.5,0.47,0.26,0.53,0.41,0.23,0.47,0.34,0.2,0.43
0039_002.4,0.58,0.35,0.69,0.51,0.31,0.61,0.42,0.27,0.53
0039_003.5,0.57,0.41,0.68,0.5,0.36,0.6,0.42,0.32,0.52
0039_004.0,0.9,0.75,1.03,0.85,0.69,1.0,0.71,0.6,0.9
0039_004.3,1.01,0.89,1.19,0.98,0.82,1.17,0.81,0.71,1.05
0039_005.1,1.0,0.92,1.36,0.97,0.87,1.33,0.81,0.74,1.23
0039_006.0,0.71,0.64,0.99,0.65,0.59,0.94,0.54,0.5,0.87
0039_006.1,0.72,0.64,0.98,0.66,0.59,0.95,0.55,0.5,0.88
0039_006.2,0.75,0.62,1.06,0.69,0.57,1.04,0.57,0.49,0.96
0039_006.4,0.65,0.53,0.94,0.6,0.49,0.89,0.5,0.42,0.8
0039_007.3,0.48,0.43,0.65,0.44,0.39,0.59,0.36,0.34,0.53
0039_007.7,0.37,0.24,0.44,0.34,0.23,0.41,0.28,0.2,0.37
0039_007.9,0.25,0.15,0.31,0.23,0.13,0.29,0.19,0.12,0.26
0039_008.7,0.38,0.21,0.39,0.35,0.19,0.35,0.29,0.16,0.32
0048_000.0,1.01,0.84,1.11,0.98,0.77,1.08,0.81,0.66,1.0
0048_000.5,0.98,0.66,1.0,0.93,0.61,0.97,0.78,0.53,0.87
0048_001.0,1.04,0.8,1.08,1.02,0.73,1.06,0.85,0.63,0.95
0048_001.5,1.09,0.78,1.19,1.07,0.72,1.16,0.89,0.62,1.04
0048_002.0,0.91,0.62,1.07,0.87,0.57,1.05,0.72,0.48,0.97
0048_002.5,0.84,0.59,1.05,0.77,0.55,1.03,0.64,0.47,0.95
0048_003.3,0.72,0.62,0.88,0.66,0.57,0.81,0.55,0.49,0.75
0048_003.5,1.27,1.04,1.38,1.24,1.01,1.36,1.03,0.86,1.25
0048_003.9,1.12,1.03,1.01,1.09,1.01,0.98,0.91,0.86,0.9
0048_004.1,1.02,1.01,1.09,0.99,0.98,1.07,0.82,0.84,0.99
0051_000.0,0.39,0.31,0.6,0.36,0.29,0.55,0.3,0.25,0.5
0051_000.6,0.42,0.37,0.65,0.38,0.34,0.6,0.32,0.3,0.54
0051_001.0,0.41,0.38,0.65,0.36,0.34,0.57,0.3,0.29,0.5
0051_001.6,0.4,0.38,0.66,0.35,0.34,0.58,0.29,0.29,0.5
0051_002.4,0.58,0.52,0.87,0.53,0.48,0.8,0.44,0.42,0.72
0052_000.0,0.14,0.13,0.14,0.13,0.12,0.13,0.11,0.1,0.12
0052_000.5,0.76,0.63,0.87,0.7,0.58,0.8,0.58,0.49,0.74
0052_000.6,0.7,0.64,0.82,0.65,0.59,0.76,0.54,0.5,0.7
0052_001.0,0.71,0.62,0.88,0.66,0.57,0.81,0.54,0.48,0.74
0052_001.5,0.7,0.52,0.8,0.65,0.48,0.74,0.54,0.41,0.68
0052_001.8,0.8,0.65,1.0,0.73,0.6,0.97,0.61,0.51,0.9
0052_002.1,0.74,0.66,1.03,0.68,0.61,1.0,0.56,0.52,0.92
0052_002.6,0.54,0.44,0.8,0.49,0.41,0.73,0.41,0.35,0.66
0052_003.1,1.13,0.83,1.49,1.1,0.77,1.46,0.91,0.65,1.35
0052_003.7,0.79,0.52,0.96,0.73,0.47,0.91,0.6,0.4,0.84
0053_000.1,0.84,0.69,0.9,0.77,0.63,0.85,0.64,0.55,0.77
0053_000.9,1.04,0.96,1.12,1.02,0.91,1.1,0.84,0.78,1.01
0053_001.5,0.99,0.98,1.16,0.96,0.95,1.14,0.79,0.81,1.05
0053_001.7,0.44,0.46,0.56,0.41,0.42,0.52,0.34,0.36,0.48
0053_001.8,0.54,0.5,0.59,0.5,0.46,0.54,0.41,0.39,0.5
0060_000.0,0.68,0.91,1.31,0.63,0.85,1.28,0.52,0.74,1.15
0060_000.8,0.19,0.16,0.3,0.17,0.14,0.26,0.14,0.12,0.23
0060_003.7,0.24,0.2,0.37,0.21,0.18,0.32,0.17,0.15,0.28
0060_004.4,0.24,0.21,0.39,0.21,0.18,0.34,0.17,0.16,0.3
0060_007.4,0.17,0.24,0.55,0.15,0.21,0.49,0.12,0.18,0.43
0065_000.1,0.1,0.08,0.14,0.09,0.07,0.12,0.07,0.06,0.11
0065_002.4,0.1,0.07,0.11,0.09,0.06,0.1,0.06,0.05,0.08
0067_000.0,0.86,0.35,0.93,0.79,0.33,0.89,0.64,0.24,0.76
0067_001.0,0.86,0.35,0.93,0.79,0.33,0.89,0.64,0.24,0.76
0067_004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0067_004.1,0.94,0.39,1.0,0.83,0.34,0.91,0.67,0.25,0.79
0067_007.3,0.97,0.42,1.03,0.92,0.38,1.01,0.75,0.28,0.87
0067_010.1,0.97,0.42,1.03,0.92,0.38,1.01,0.75,0.28,0.87
0068_000.0,0.07,0.04,0.09,0.06,0.04,0.08,0.05,0.03,0.07
0068_009.1,0.07,0.04,0.09,0.06,0.04,0.07,0.05,0.03,0.07
0068_012.8,0.07,0.04,0.09,0.06,0.04,0.07,0.05,0.03,0.07
0068_017.2,0.07,0.04,0.09,0.06,0.04,0.07,0.05,0.03,0.07
0068_023.7,0.07,0.04,0.08,0.06,0.04,0.07,0.05,0.03,0.07
0068_024.7,0.06,0.05,0.08,0.06,0.04,0.07,0.05,0.03,0.07
0068_025.0,0.07,0.05,0.1,0.06,0.05,0.09,0.05,0.04,0.08
0068_025.4,0.72,0.45,0.88,0.63,0.39,0.77,0.53,0.34,0.67
0068_026.5,0.73,0.45,0.9,0.64,0.4,0.79,0.53,0.34,0.69
0068_026.9,0.76,0.45,0.93,0.67,0.39,0.82,0.55,0.34,0.71
0068_027.4,0.36,0.23,0.45,0.31,0.2,0.39,0.26,0.18,0.34
0068_028.3,0.41,0.24,0.49,0.36,0.21,0.43,0.3,0.18,0.38
0068_029.3,0.4,0.24,0.47,0.37,0.22,0.43,0.31,0.19,0.39
0068_029.7,0.38,0.25,0.44,0.34,0.22,0.39,0.28,0.19,0.34
0068_030.5,0.47,0.49,0.57,0.42,0.43,0.5,0.34,0.37,0.44
0068_031.0,0.65,0.5,0.67,0.57,0.44,0.59,0.47,0.38,0.51
0068_031.5,0.71,0.49,0.75,0.63,0.43,0.66,0.52,0.37,0.58
0068_031.7,0.78,0.47,0.87,0.69,0.41,0.76,0.57,0.36,0.67
0068_032.2,0.77,0.47,0.84,0.71,0.43,0.77,0.59,0.37,0.7
0068_032.4,0.8,0.46,0.84,0.73,0.42,0.78,0.61,0.37,0.7
0068_032.7,0.9,0.5,0.99,0.86,0.46,0.96,0.71,0.4,0.87
0068_033.3,0.82,0.5,0.9,0.76,0.46,0.83,0.63,0.4,0.74
0068_033.6,0.84,0.51,0.89,0.77,0.46,0.82,0.64,0.4,0.74
0068_034.0,0.87,0.52,0.94,0.77,0.46,0.83,0.63,0.4,0.73
0068_034.5,0.67,0.65,1.06,0.59,0.57,1.01,0.49,0.5,0.88
0068_034.6,0.76,0.49,0.91,0.67,0.43,0.8,0.56,0.37,0.7
0068_036.0,0.96,0.62,1.09,0.84,0.55,1.04,0.7,0.47,0.91
0068_038.1,0.93,0.49,1.04,0.85,0.43,0.97,0.7,0.37,0.85
0068_039.2,1.0,0.46,1.17,0.91,0.4,1.11,0.75,0.35,0.97
0068_039.8,1.0,0.46,1.17,0.91,0.4,1.11,0.75,0.35,0.97
0068_040.1,0.97,0.58,1.23,0.88,0.51,1.17,0.73,0.44,1.02
0068_040.8,0.36,0.21,0.46,0.31,0.19,0.41,0.26,0.16,0.36
0068_041.3,0.39,0.2,0.52,0.35,0.18,0.48,0.3,0.16,0.43
0068_042.3,0.5,0.26,0.64,0.46,0.24,0.59,0.38,0.21,0.53
0068_043.3,0.52,0.26,0.65,0.48,0.24,0.59,0.4,0.21,0.53
0068_043.8,0.75,0.38,0.96,0.69,0.35,0.91,0.58,0.3,0.82
0068_045.1,0.72,0.42,0.9,0.67,0.39,0.83,0.55,0.34,0.75
0068_045.8,0.86,0.5,0.96,0.79,0.46,0.92,0.65,0.39,0.85
0068_046.8,1.04,0.68,1.22,1.02,0.62,1.19,0.85,0.53,1.1
0068_047.2,1.03,0.66,1.25,1.01,0.61,1.23,0.84,0.52,1.11
0068_047.8,1.06,0.65,1.25,1.04,0.6,1.22,0.87,0.52,1.1
0068_048.3,1.23,0.68,1.29,1.2,0.62,1.26,1.0,0.53,1.16
0068_049.3,1.06,0.7,1.26,1.04,0.65,1.24,0.86,0.56,1.11
0068_050.3,1.89,1.19,1.71,1.85,1.17,1.68,1.53,0.99,1.54
0068_050.7,1.18,1.11,1.69,1.15,1.09,1.66,0.95,0.93,1.53
0068_051.3,1.03,0.63,1.15,1.01,0.58,1.12,0.84,0.49,1.04
0068_052.1,1.06,0.63,1.16,1.04,0.58,1.13,0.86,0.49,1.05
0068_052.3,0.98,0.57,1.22,0.95,0.53,1.2,0.79,0.45,1.1
0068_053.1,1.0,0.78,1.38,0.97,0.72,1.35,0.8,0.61,1.25
0068_053.3,0.97,0.5,1.14,0.92,0.46,1.11,0.76,0.39,1.03
0068_054.3,0.61,0.35,1.03,0.56,0.33,1.01,0.46,0.28,0.93
0068_054.8,0.62,0.36,0.98,0.57,0.33,0.95,0.48,0.28,0.88
0068_055.7,0.57,0.39,0.87,0.52,0.36,0.8,0.43,0.3,0.74
0068_056.2,0.75,0.48,1.1,0.69,0.44,1.08,0.57,0.38,1.0
0068_056.3,0.75,0.51,1.25,0.69,0.47,1.23,0.57,0.4,1.13
0068_056.8,0.57,0.5,1.08,0.53,0.46,1.06,0.44,0.39,0.98
0068_057.3,0.69,0.5,1.09,0.64,0.46,1.06,0.53,0.39,0.98
0068_058.1,0.59,0.45,1.16,0.55,0.41,1.14,0.46,0.36,1.03
0068_058.7,0.65,0.55,0.89,0.6,0.5,0.85,0.49,0.43,0.78
0068_059.1,0.71,0.59,0.86,0.65,0.55,0.79,0.54,0.47,0.73
0068_059.5,0.93,0.47,1.21,0.88,0.43,1.19,0.73,0.37,1.1
0068_060.4,0.67,0.37,0.97,0.61,0.34,0.92,0.51,0.29,0.83
0068_060.8,0.85,0.44,1.18,0.78,0.4,1.15,0.65,0.35,1.04
0068_061.8,0.81,0.42,1.37,0.71,0.37,1.3,0.59,0.32,1.13
0068_062.6,0.39,0.26,0.67,0.36,0.24,0.62,0.3,0.21,0.55
0068_063.8,0.47,0.31,0.57,0.43,0.28,0.52,0.36,0.25,0.47
0068_064.4,0.32,0.23,0.43,0.3,0.21,0.4,0.25,0.19,0.36
0068_065.7,0.71,0.41,0.96,0.65,0.38,0.91,0.54,0.33,0.82
0068_066.6,0.81,0.39,1.08,0.71,0.35,1.02,0.59,0.3,0.89
0068_067.3,0.29,0.19,0.56,0.26,0.17,0.5,0.21,0.15,0.43
0068_068.2,0.31,0.27,0.49,0.28,0.25,0.45,0.24,0.22,0.4
0068_068.7,0.44,0.42,0.61,0.4,0.39,0.56,0.33,0.33,0.52
0068_068.9,0.45,0.44,0.55,0.42,0.4,0.5,0.34,0.34,0.46
0068_069.0,0.63,0.67,0.76,0.58,0.61,0.7,0.48,0.52,0.65
0068_069.2,0.64,0.63,0.85,0.59,0.58,0.78,0.49,0.5,0.72
0068_069.6,0.77,0.72,0.99,0.71,0.66,0.96,0.59,0.56,0.89
0068_070.0,0.78,0.72,1.01,0.72,0.66,0.98,0.6,0.56,0.91
0068_070.2,0.93,0.7,1.06,0.88,0.64,1.04,0.73,0.55,0.96
0068_070.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0071_000.0,0.79,0.55,0.9,0.73,0.5,0.85,0.6,0.44,0.77
0071_000.4,0.76,0.54,0.91,0.7,0.5,0.86,0.58,0.43,0.78
0071_001.4,1.02,0.69,1.17,0.99,0.63,1.15,0.83,0.55,1.03
0071_002.4,0.94,0.62,1.07,0.89,0.57,1.05,0.74,0.5,0.95
0071_002.9,0.98,0.6,1.1,0.95,0.55,1.08,0.79,0.48,0.97
0071_004.1,1.0,0.8,1.08,0.97,0.73,1.06,0.8,0.63,0.98
0071_004.7,0.79,0.83,1.03,0.73,0.76,1.0,0.6,0.65,0.92
0071_005.0,0.62,0.52,0.84,0.57,0.48,0.77,0.48,0.41,0.71
0071_005.1,0.84,0.74,0.97,0.78,0.68,0.92,0.64,0.58,0.85
0071_005.5,0.93,0.85,1.04,0.88,0.78,1.02,0.73,0.67,0.94
