SEGID,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
0154_000.5,0.98,0.72,0.99,0.95,0.67,0.94,0.81,0.52,0.85
0154_000.8,0.91,0.71,0.98,0.84,0.65,0.93,0.72,0.51,0.84
0154_001.4,1.02,0.75,1.1,0.93,0.66,1.05,0.79,0.52,0.94
0154_003.2,0.62,0.48,0.8,0.55,0.42,0.7,0.47,0.33,0.63
0154_004.2,0.58,0.5,0.83,0.53,0.46,0.76,0.45,0.36,0.69
0154_005.8,0.7,0.57,0.99,0.64,0.53,0.96,0.54,0.41,0.86
0154_006.8,0.86,0.71,1.02,0.79,0.66,0.99,0.67,0.51,0.89
0154_008.3,1.0,0.88,1.14,0.97,0.81,1.12,0.83,0.63,1.01
0154_009.6,1.05,0.92,1.13,1.03,0.88,1.11,0.88,0.69,1.0
0154_010.4,1.12,0.99,1.2,1.1,0.94,1.18,0.94,0.73,1.06
0154_011.4,1.11,1.0,1.16,1.09,0.95,1.14,0.92,0.74,1.03
0154_012.9,1.24,1.11,1.32,1.22,1.09,1.29,1.04,0.85,1.16
0154_013.9,1.26,1.13,1.27,1.23,1.1,1.24,1.05,0.86,1.12
0154_014.9,1.27,1.13,1.3,1.25,1.11,1.28,1.06,0.87,1.15
0154_015.9,1.31,1.16,1.32,1.28,1.14,1.29,1.09,0.89,1.17
0154_016.9,1.23,1.07,1.25,1.21,1.05,1.23,1.03,0.82,1.11
0154_017.9,1.3,1.09,1.32,1.27,1.07,1.29,1.08,0.83,1.17
0154_018.9,1.3,1.06,1.31,1.27,1.03,1.28,1.08,0.81,1.16
0154_019.5,1.07,0.9,1.08,1.05,0.86,1.06,0.89,0.67,0.96
0154_020.0,1.02,0.9,1.09,0.99,0.86,1.07,0.85,0.67,0.96
0154_021.0,1.23,1.12,1.17,1.2,1.1,1.15,1.02,0.86,1.04
0154_022.3,1.02,0.99,1.04,1.0,0.94,1.02,0.85,0.74,0.92
0156_000.0,1.03,0.84,1.12,0.99,0.78,1.09,0.82,0.66,1.01
0156_000.2,1.04,0.88,1.14,1.01,0.81,1.12,0.84,0.69,1.03
0156_000.3,1.08,0.88,1.16,1.06,0.81,1.13,0.88,0.69,1.04
0156_000.6,0.96,0.77,1.04,0.91,0.71,1.02,0.76,0.61,0.94
0156_001.0,0.92,0.77,1.01,0.87,0.71,0.98,0.72,0.61,0.91
0156_001.2,0.62,0.54,0.79,0.57,0.5,0.73,0.47,0.43,0.67
0164_000.0,0.55,0.4,0.72,0.51,0.37,0.66,0.42,0.32,0.59
0164_000.5,0.16,0.16,0.27,0.15,0.15,0.25,0.12,0.13,0.22
0164_001.1,0.21,0.22,0.39,0.19,0.2,0.36,0.16,0.17,0.32
0164_001.7,0.45,0.49,0.96,0.4,0.43,0.84,0.33,0.37,0.74
0164_002.0,0.3,0.33,0.65,0.27,0.3,0.6,0.23,0.26,0.54
0164_002.3,0.3,0.33,0.59,0.27,0.29,0.52,0.22,0.25,0.45
0171_000.0,0.87,0.81,1.16,0.8,0.75,1.14,0.66,0.65,1.03
0171_000.5,0.93,0.8,1.13,0.88,0.74,1.11,0.73,0.64,1.0
0171_001.5,0.5,0.42,0.64,0.46,0.39,0.59,0.38,0.34,0.53
0171_002.5,0.63,0.45,0.79,0.58,0.42,0.72,0.48,0.36,0.65
0171_003.3,0.67,0.48,0.84,0.61,0.44,0.77,0.51,0.38,0.69
0171_003.5,0.77,0.57,0.92,0.7,0.52,0.84,0.59,0.45,0.76
0171_004.0,0.77,0.54,0.9,0.71,0.5,0.85,0.59,0.43,0.76
0171_004.5,1.02,0.78,1.09,1.0,0.72,1.07,0.83,0.61,0.99
0171_005.0,1.0,0.77,1.06,0.97,0.71,1.04,0.8,0.6,0.96
0171_005.5,0.93,0.75,1.03,0.89,0.69,1.0,0.73,0.59,0.93
0171_005.8,0.92,0.84,1.11,0.87,0.77,1.09,0.72,0.66,1.0
0171_006.0,0.85,0.71,0.89,0.78,0.65,0.82,0.65,0.56,0.75
0171_006.5,0.67,0.6,0.7,0.62,0.55,0.65,0.51,0.47,0.6
0171_007.0,0.86,0.7,0.88,0.79,0.64,0.81,0.66,0.55,0.75
0171_007.3,0.84,0.69,0.97,0.77,0.63,0.92,0.64,0.54,0.85
0171_007.6,0.8,0.62,0.98,0.74,0.57,0.93,0.61,0.48,0.86
0171_008.0,0.78,0.47,0.94,0.72,0.43,0.89,0.59,0.37,0.82
0171_008.8,0.71,0.49,0.92,0.66,0.45,0.85,0.54,0.38,0.78
0171_009.2,0.73,0.62,0.78,0.67,0.57,0.72,0.55,0.49,0.67
0171_009.5,0.74,0.6,0.84,0.68,0.55,0.78,0.56,0.47,0.72
0171_009.8,0.75,0.6,0.87,0.69,0.55,0.8,0.57,0.47,0.74
0171_010.0,1.12,0.99,1.32,1.1,0.96,1.29,0.91,0.81,1.19
0171_010.1,0.92,0.89,1.04,0.85,0.82,1.01,0.7,0.7,0.94
0171_010.4,0.93,0.88,1.03,0.88,0.81,1.0,0.73,0.69,0.92
0171_010.6,0.99,0.85,1.14,0.94,0.79,1.12,0.78,0.67,1.03
0171_010.7,1.01,0.86,1.17,0.98,0.79,1.14,0.81,0.68,1.05
0171_011.0,0.99,0.86,1.12,0.94,0.79,1.1,0.78,0.67,1.01
0171_011.3,0.59,0.5,0.71,0.54,0.46,0.66,0.45,0.39,0.61
0171_011.6,0.68,0.55,0.86,0.62,0.51,0.79,0.52,0.43,0.73
0171_011.9,0.82,0.69,0.99,0.75,0.64,0.94,0.62,0.54,0.86
0171_012.2,0.82,0.7,1.01,0.75,0.65,0.98,0.62,0.55,0.9
0171_012.5,0.9,0.68,1.08,0.83,0.63,1.06,0.69,0.54,0.97
0171_012.7,0.5,0.4,0.61,0.46,0.37,0.56,0.38,0.32,0.51
0171_013.1,0.46,0.41,0.56,0.42,0.38,0.51,0.35,0.32,0.47
0171_013.6,0.55,0.43,0.71,0.5,0.4,0.65,0.42,0.35,0.59
0171_014.1,0.55,0.5,0.73,0.5,0.46,0.67,0.42,0.4,0.6
0171_014.6,0.46,0.48,0.74,0.43,0.44,0.68,0.36,0.38,0.61
0171_015.6,0.41,0.52,1.0,0.38,0.48,0.95,0.31,0.42,0.85
0172_000.0,0.84,0.35,1.14,0.77,0.32,1.12,0.64,0.28,1.0
0172_001.0,1.18,0.64,1.52,1.16,0.58,1.49,0.97,0.51,1.34
0172_002.0,1.01,0.59,1.2,0.98,0.54,1.18,0.82,0.47,1.06
0172_003.0,0.54,0.25,0.7,0.5,0.23,0.64,0.41,0.2,0.58
0172_004.0,1.0,0.55,1.29,0.95,0.51,1.27,0.78,0.43,1.17
0172_004.5,1.13,0.56,1.43,1.11,0.51,1.4,0.92,0.44,1.29
0172_005.0,1.19,0.66,1.33,1.17,0.61,1.3,0.97,0.52,1.2
0172_005.5,1.15,0.69,1.35,1.13,0.64,1.32,0.94,0.54,1.22
0172_006.0,0.44,0.17,0.46,0.4,0.16,0.42,0.34,0.14,0.38
0172_006.5,0.55,0.2,0.61,0.5,0.19,0.56,0.42,0.16,0.5
0172_007.0,1.01,0.63,1.26,0.98,0.58,1.24,0.81,0.5,1.11
0172_008.0,0.59,0.48,0.97,0.54,0.44,0.92,0.45,0.38,0.83
0172_008.5,0.52,0.55,0.89,0.48,0.5,0.82,0.4,0.44,0.74
0173_000.0,0.46,0.35,1.58,0.4,0.3,1.5,0.33,0.26,1.31
0173_000.7,0.53,0.37,1.4,0.47,0.33,1.33,0.39,0.29,1.16
0173_001.7,0.28,0.26,0.4,0.26,0.24,0.37,0.22,0.21,0.33
0173_002.2,0.33,0.21,0.45,0.3,0.2,0.41,0.25,0.17,0.37
0173_002.8,0.54,0.42,0.83,0.5,0.39,0.76,0.42,0.34,0.68
0173_003.8,0.48,0.28,0.57,0.44,0.26,0.53,0.37,0.22,0.48
0173_004.4,0.49,0.26,0.56,0.45,0.24,0.52,0.37,0.21,0.48
0173_004.7,0.98,0.58,1.14,0.93,0.53,1.11,0.77,0.45,1.03
0173_005.0,1.02,0.61,1.32,0.99,0.56,1.29,0.83,0.49,1.16
0173_005.3,1.01,0.6,1.23,0.98,0.55,1.2,0.82,0.48,1.08
0173_005.8,1.06,0.6,1.24,1.04,0.55,1.22,0.87,0.48,1.1
0173_006.3,1.1,0.66,1.3,1.08,0.61,1.28,0.9,0.53,1.15
0173_006.8,1.09,0.77,1.21,1.07,0.71,1.18,0.89,0.6,1.09
0173_007.3,0.82,0.75,0.99,0.75,0.69,0.96,0.62,0.59,0.89
0173_007.7,0.89,0.65,1.08,0.82,0.6,1.06,0.69,0.52,0.95
0173_008.8,0.81,0.61,0.92,0.75,0.56,0.88,0.62,0.48,0.81
0173_009.2,0.77,0.6,0.88,0.71,0.56,0.81,0.58,0.47,0.75
0173_009.3,0.82,0.6,0.94,0.75,0.55,0.89,0.62,0.47,0.82
0175_000.0,0.95,0.94,1.3,0.9,0.9,1.28,0.74,0.76,1.18
0175_000.1,0.9,0.89,1.21,0.83,0.82,1.19,0.69,0.7,1.1
0175_000.4,0.97,0.78,1.3,0.92,0.72,1.28,0.77,0.63,1.15
0175_000.9,0.97,0.76,1.26,0.93,0.7,1.24,0.77,0.61,1.11
0175_001.4,1.01,0.78,1.29,0.98,0.72,1.27,0.82,0.63,1.14
0175_001.9,1.03,0.78,1.31,1.0,0.72,1.28,0.83,0.62,1.15
0175_002.4,0.67,0.48,0.82,0.62,0.44,0.75,0.52,0.38,0.68
0175_002.9,0.78,0.53,0.93,0.72,0.49,0.88,0.6,0.43,0.79
0175_003.5,0.61,0.54,0.76,0.56,0.5,0.7,0.47,0.43,0.63
0175_003.9,0.68,0.57,0.83,0.63,0.52,0.76,0.52,0.45,0.7
0175_004.5,0.45,0.48,0.69,0.41,0.44,0.63,0.34,0.37,0.58
0175_004.7,0.62,0.57,0.69,0.57,0.52,0.64,0.48,0.45,0.59
0176_000.0,0.73,0.64,0.92,0.67,0.59,0.87,0.55,0.5,0.8
0176_000.4,0.9,0.73,1.11,0.83,0.67,1.09,0.69,0.57,1.0
0178_000.0,1.02,1.02,1.48,0.99,1.0,1.46,0.83,0.87,1.31
0178_000.2,0.78,0.6,0.82,0.72,0.55,0.75,0.6,0.48,0.68
0178_000.7,0.4,0.43,0.56,0.37,0.39,0.51,0.31,0.34,0.46
0178_001.0,0.37,0.39,0.5,0.34,0.36,0.46,0.29,0.31,0.42
0180_000.1,0.8,0.63,0.59,0.74,0.58,0.54,0.61,0.49,0.5
0186_000.0,0.85,0.6,0.87,0.78,0.55,0.8,0.65,0.47,0.74
0186_001.2,0.73,0.54,0.67,0.67,0.49,0.62,0.55,0.42,0.57
0186_001.5,1.39,1.09,1.32,1.36,1.06,1.29,1.13,0.91,1.19
0186_001.6,1.22,1.0,1.22,1.2,0.97,1.2,0.99,0.83,1.1
0186_001.9,0.56,0.46,0.57,0.52,0.42,0.53,0.43,0.36,0.49
0186_002.1,0.69,0.63,0.71,0.64,0.58,0.65,0.53,0.49,0.6
0186_002.2,0.59,0.64,0.7,0.55,0.59,0.64,0.45,0.5,0.59
0186_002.4,0.7,0.68,0.76,0.65,0.62,0.7,0.54,0.53,0.64
0186_002.5,0.69,0.64,0.74,0.64,0.59,0.69,0.53,0.5,0.63
0186_002.7,0.76,0.65,0.92,0.7,0.6,0.84,0.58,0.51,0.78
0186_002.8,0.79,0.68,0.92,0.73,0.62,0.87,0.6,0.53,0.8
0186_003.0,0.81,0.69,0.92,0.75,0.64,0.85,0.62,0.54,0.78
0186_003.3,0.61,0.56,0.83,0.56,0.52,0.76,0.46,0.44,0.7
0186_003.6,0.67,0.53,0.65,0.62,0.49,0.6,0.51,0.42,0.55
0186_003.9,0.73,0.52,0.78,0.67,0.48,0.71,0.56,0.41,0.66
0186_004.6,0.71,0.57,0.7,0.66,0.52,0.64,0.54,0.44,0.59
0186_004.7,0.72,0.57,0.7,0.66,0.52,0.65,0.54,0.44,0.6
0186_005.0,0.66,0.44,0.81,0.61,0.4,0.74,0.5,0.34,0.69
0186_005.5,1.37,0.85,1.45,1.34,0.79,1.43,1.11,0.67,1.31
0186_006.0,1.41,0.76,1.46,1.39,0.7,1.43,1.16,0.61,1.29
0186_006.4,1.34,0.68,1.42,1.31,0.63,1.39,1.09,0.54,1.25
0186_006.7,1.43,0.75,1.48,1.4,0.69,1.45,1.17,0.6,1.31
0186_006.9,1.9,1.05,1.88,1.86,1.03,1.85,1.54,0.88,1.7
0186_007.4,1.79,1.03,1.82,1.76,1.0,1.78,1.47,0.87,1.6
0186_008.0,1.16,0.75,1.21,1.13,0.69,1.18,0.95,0.6,1.06
0189_000.0,1.26,0.99,1.41,1.23,0.96,1.38,1.02,0.82,1.27
0189_000.2,1.21,0.91,0.92,1.18,0.86,0.88,0.98,0.73,0.81
0189_000.6,0.9,0.72,0.9,0.83,0.67,0.86,0.69,0.57,0.79
0189_001.1,1.64,1.5,1.83,1.61,1.47,1.79,1.33,1.25,1.65
0189_001.4,0.84,0.73,0.92,0.78,0.67,0.88,0.64,0.57,0.81
0189_001.6,0.89,0.63,0.91,0.82,0.58,0.87,0.68,0.5,0.8
0189_001.9,0.93,0.76,1.02,0.89,0.7,0.99,0.73,0.6,0.92
0189_002.1,0.91,0.78,0.97,0.83,0.71,0.92,0.69,0.61,0.85
0189_002.4,0.98,0.77,1.13,0.93,0.71,1.1,0.77,0.61,1.02
0189_002.6,0.91,0.65,1.08,0.87,0.59,1.05,0.72,0.51,0.97
0189_002.7,1.2,1.03,1.22,1.18,1.01,1.19,0.98,0.86,1.1
0189_002.9,0.82,0.74,1.06,0.75,0.68,1.04,0.62,0.58,0.96
0189_003.1,0.85,0.77,1.07,0.78,0.71,1.05,0.65,0.6,0.97
0189_003.4,0.71,0.71,0.88,0.65,0.65,0.81,0.54,0.55,0.75
0189_004.0,0.88,0.76,1.12,0.81,0.7,1.09,0.68,0.61,0.98
0189_005.3,0.73,0.61,1.05,0.68,0.56,1.03,0.56,0.48,0.92
0189_005.7,1.37,1.17,2.01,1.34,1.15,1.97,1.11,0.98,1.82
0189_006.3,0.74,0.47,0.93,0.68,0.44,0.88,0.56,0.37,0.81
0189_007.0,1.26,0.86,1.64,1.23,0.79,1.61,1.03,0.68,1.44
0189_007.4,0.86,0.63,0.99,0.79,0.58,0.94,0.66,0.51,0.85
0189_009.9,0.61,0.45,0.72,0.56,0.41,0.66,0.47,0.36,0.6
0189_013.1,0.58,0.43,0.68,0.51,0.38,0.6,0.44,0.33,0.55
0190_000.0,0.39,0.38,0.62,0.36,0.35,0.57,0.29,0.3,0.53
0190_000.1,0.32,0.25,0.38,0.29,0.23,0.35,0.24,0.2,0.32
0190_000.3,0.34,0.24,0.45,0.31,0.22,0.41,0.26,0.19,0.38
0190_000.8,0.85,0.48,1.15,0.78,0.44,1.13,0.65,0.38,1.04
0190_001.8,0.38,0.24,0.42,0.34,0.21,0.37,0.21,0.17,0.31
0190_004.7,0.36,0.23,0.39,0.31,0.2,0.34,0.2,0.16,0.29
0190_011.6,0.18,0.13,0.2,0.16,0.11,0.18,0.1,0.09,0.15
0190_015.8,0.04,0.02,0.04,0.03,0.02,0.04,0.03,0.02,0.03
0193_000.0,0.55,0.39,0.77,0.5,0.36,0.71,0.42,0.31,0.64
0193_001.0,0.91,0.6,0.97,0.84,0.55,0.92,0.7,0.48,0.82
0193_002.0,1.4,0.9,1.54,1.38,0.86,1.51,1.15,0.74,1.36
0193_002.7,0.55,0.39,0.79,0.5,0.36,0.72,0.42,0.3,0.67
0193_003.8,0.99,0.57,1.0,0.96,0.52,0.97,0.79,0.45,0.9
0193_004.2,0.92,0.58,0.89,0.85,0.54,0.82,0.7,0.46,0.76
0193_004.4,0.97,0.7,0.87,0.92,0.65,0.8,0.76,0.55,0.74
0193_004.5,0.88,0.61,0.98,0.81,0.56,0.93,0.67,0.48,0.86
0193_005.2,0.92,0.67,1.07,0.87,0.61,1.05,0.72,0.52,0.97
0193_006.0,0.84,0.63,1.04,0.77,0.58,1.02,0.64,0.49,0.94
0193_006.7,0.95,0.74,1.26,0.9,0.68,1.24,0.75,0.59,1.11
0193_007.2,0.93,0.72,1.3,0.89,0.67,1.27,0.74,0.58,1.15
0193_007.8,0.84,0.71,1.07,0.78,0.65,1.05,0.65,0.57,0.94
0194_000.0,0.63,0.52,0.68,0.58,0.47,0.63,0.5,0.37,0.57
0194_000.8,0.52,0.44,0.63,0.48,0.41,0.58,0.41,0.32,0.53
0194_001.9,0.48,0.37,0.53,0.45,0.34,0.48,0.38,0.27,0.45
0194_002.4,1.55,1.22,2.63,1.51,1.2,2.58,1.26,1.04,2.32
0194_002.8,0.76,0.52,0.84,0.7,0.48,0.77,0.58,0.41,0.71
0198_000.0,0.23,0.16,0.23,0.21,0.15,0.21,0.17,0.13,0.19
0198_000.3,0.35,0.27,0.4,0.3,0.24,0.35,0.25,0.2,0.3
0198_000.5,0.34,0.27,0.4,0.3,0.24,0.35,0.25,0.21,0.3
0198_001.4,0.35,0.28,0.41,0.31,0.25,0.36,0.26,0.21,0.31
0198_001.9,0.33,0.27,0.41,0.29,0.24,0.36,0.24,0.21,0.32
0198_002.4,0.46,0.4,0.63,0.41,0.36,0.55,0.34,0.31,0.48
0198_002.9,0.41,0.39,0.61,0.38,0.36,0.56,0.31,0.31,0.5
0198_003.7,0.52,0.47,0.76,0.48,0.43,0.7,0.4,0.38,0.63
0198_004.1,0.52,0.44,0.68,0.48,0.41,0.62,0.4,0.35,0.56
0198_004.4,0.88,0.81,1.01,0.81,0.74,0.98,0.68,0.64,0.88
0198_005.0,0.95,0.77,1.06,0.9,0.71,1.04,0.75,0.62,0.94
0198_005.3,0.92,0.82,1.12,0.84,0.76,1.09,0.7,0.66,0.98
0198_005.4,0.63,0.64,0.83,0.58,0.59,0.77,0.48,0.51,0.69
0198_005.9,0.81,0.81,1.08,0.74,0.75,1.06,0.62,0.65,0.95
0198_006.3,0.68,0.64,0.88,0.63,0.59,0.81,0.52,0.51,0.73
0198_007.6,0.67,0.64,1.0,0.59,0.56,0.91,0.49,0.49,0.79
0198_008.7,0.72,0.67,0.92,0.66,0.62,0.88,0.55,0.54,0.79
0198_008.9,0.85,0.7,1.01,0.78,0.65,0.98,0.65,0.56,0.88
0198_009.1,0.4,0.3,0.53,0.35,0.27,0.46,0.29,0.23,0.4
0198_009.5,0.44,0.33,0.63,0.39,0.29,0.56,0.32,0.25,0.48
0198_009.9,0.42,0.31,0.58,0.37,0.27,0.51,0.31,0.23,0.45
0198_010.5,0.75,0.48,0.91,0.66,0.42,0.8,0.54,0.36,0.7
0198_011.0,0.75,0.49,0.92,0.66,0.43,0.81,0.55,0.37,0.71
0198_011.5,1.03,0.8,1.35,1.0,0.74,1.33,0.83,0.64,1.19
0198_011.81,1.03,0.81,1.3,1.0,0.74,1.27,0.83,0.65,1.14
0198_012.3,0.58,0.66,1.19,0.53,0.61,1.17,0.44,0.52,1.08
0198_012.6,0.63,0.61,0.91,0.58,0.56,0.87,0.48,0.48,0.78
0198_012.9,0.57,0.48,0.71,0.53,0.44,0.65,0.44,0.39,0.59
0198_013.1,0.53,0.43,0.67,0.48,0.4,0.61,0.4,0.34,0.55
0198_013.4,0.57,0.42,0.71,0.53,0.39,0.65,0.44,0.34,0.58
0198_014.0,0.24,0.27,0.41,0.22,0.25,0.38,0.18,0.22,0.34
0198_014.5,0.16,0.17,0.23,0.15,0.16,0.21,0.12,0.14,0.19
0198_014.8,0.34,0.29,0.46,0.31,0.27,0.42,0.26,0.23,0.38
0201_000.0,0.65,0.4,0.59,0.57,0.35,0.52,0.47,0.31,0.48
0201_002.8,0.66,0.46,0.69,0.58,0.41,0.61,0.48,0.35,0.53
0201_006.2,0.46,0.37,0.4,0.42,0.34,0.37,0.37,0.26,0.35
0201_007.2,0.71,0.54,0.66,0.63,0.48,0.58,0.54,0.36,0.55
0201_007.7,0.71,0.53,0.62,0.65,0.49,0.57,0.57,0.37,0.54
0201_008.7,0.93,0.8,0.91,0.82,0.7,0.8,0.71,0.53,0.75
0201_010.8,1.02,0.97,0.97,1.0,0.92,0.92,0.87,0.7,0.87
0201_012.8,1.08,1.09,1.06,1.05,1.06,1.04,0.92,0.81,0.97
0201_013.8,1.27,1.32,1.29,1.24,1.3,1.27,1.08,0.99,1.19
0201_014.7,1.13,1.02,1.01,1.11,1.0,0.98,0.96,0.76,0.92
0201_015.3,0.99,0.98,1.03,0.97,0.95,1.0,0.84,0.72,0.94
0201_016.7,0.65,0.45,0.83,0.6,0.41,0.76,0.49,0.35,0.7
0201_017.0,0.38,0.32,0.69,0.35,0.3,0.64,0.29,0.25,0.59
0201_017.3,0.44,0.35,0.51,0.4,0.32,0.47,0.33,0.28,0.43
0201_017.5,0.77,0.75,1.0,0.71,0.69,0.95,0.59,0.59,0.87
0201_017.8,0.75,0.73,1.01,0.69,0.67,0.98,0.57,0.57,0.9
0201_018.0,0.83,0.71,1.1,0.76,0.66,1.08,0.63,0.56,1.0
0202_000.0,0.09,0.04,0.14,0.08,0.04,0.12,0.07,0.03,0.11
0202_001.5,0.02,0.0,0.07,0.02,0.0,0.06,0.02,0.0,0.05
0203_000.0,1.25,0.97,1.35,1.22,0.92,1.32,1.02,0.8,1.19
0203_000.5,1.16,0.92,1.17,1.14,0.85,1.15,0.94,0.72,1.06
0203_001.6,1.08,0.89,1.02,1.06,0.82,1.0,0.88,0.7,0.92
0203_001.8,1.07,0.87,1.04,1.05,0.8,1.02,0.87,0.69,0.94
0203_002.3,1.12,0.95,1.15,1.1,0.9,1.12,0.91,0.77,1.04
0203_003.1,1.11,0.81,1.16,1.09,0.75,1.14,0.91,0.65,1.02
0203_003.9,1.07,0.83,1.06,1.05,0.76,1.04,0.88,0.66,0.94
0203_004.2,1.05,0.81,1.04,1.03,0.74,1.02,0.86,0.65,0.92
0203_004.5,1.03,0.81,1.02,1.0,0.74,1.0,0.83,0.64,0.9
0203_004.8,1.01,0.79,0.98,0.98,0.73,0.95,0.81,0.62,0.88
0203_005.1,0.92,0.73,0.98,0.88,0.68,0.95,0.73,0.59,0.85
0203_005.4,0.82,0.6,0.87,0.75,0.55,0.8,0.63,0.48,0.72
0204_000.0,0.58,0.71,0.9,0.53,0.66,0.85,0.44,0.56,0.79
0204_000.1,0.52,0.51,0.65,0.48,0.47,0.6,0.4,0.4,0.55
0204_000.4,1.03,0.97,1.05,1.01,0.93,1.03,0.83,0.79,0.95
0204_001.1,0.8,0.83,0.98,0.74,0.76,0.93,0.61,0.65,0.86
0204_001.2,0.61,0.56,0.63,0.56,0.51,0.58,0.46,0.44,0.54
0204_001.5,0.63,0.56,0.64,0.58,0.51,0.59,0.48,0.44,0.54
0204_001.8,0.7,0.57,0.72,0.65,0.53,0.66,0.53,0.45,0.61
0204_002.1,0.79,0.62,0.81,0.73,0.57,0.75,0.6,0.48,0.69
0204_002.4,0.8,0.61,0.81,0.73,0.56,0.75,0.61,0.47,0.69
0204_002.5,0.8,0.66,0.77,0.74,0.61,0.71,0.61,0.52,0.66
0204_002.7,0.75,0.66,0.77,0.69,0.6,0.71,0.57,0.51,0.65
0204_003.1,0.82,0.64,0.82,0.76,0.59,0.75,0.63,0.5,0.69
0204_003.6,0.97,0.75,0.98,0.92,0.69,0.93,0.76,0.59,0.86
0204_004.1,0.94,0.71,0.98,0.89,0.65,0.95,0.74,0.56,0.88
0204_004.6,0.65,0.48,0.7,0.6,0.44,0.65,0.5,0.38,0.58
0204_005.1,0.53,0.38,0.57,0.49,0.35,0.53,0.41,0.3,0.47
0209_000.6,0.15,0.13,0.21,0.13,0.12,0.19,0.11,0.1,0.16
0209_001.7,0.1,0.08,0.12,0.09,0.07,0.11,0.07,0.06,0.09
0209_002.4,0.11,0.1,0.15,0.1,0.09,0.13,0.08,0.07,0.11
0209_003.0,0.76,0.41,0.87,0.7,0.38,0.8,0.58,0.33,0.72
0209_003.6,0.7,0.46,0.85,0.64,0.43,0.78,0.53,0.37,0.7
0209_004.2,0.51,0.39,0.64,0.47,0.36,0.59,0.39,0.31,0.53
0209_004.4,0.27,0.22,0.39,0.25,0.2,0.35,0.2,0.17,0.32
0209_004.6,0.51,0.41,0.61,0.47,0.38,0.56,0.39,0.33,0.51
0209_005.0,0.28,0.21,0.38,0.26,0.2,0.35,0.21,0.17,0.31
0209_005.2,0.53,0.42,0.72,0.49,0.39,0.66,0.41,0.33,0.59
0209_005.7,0.48,0.39,0.7,0.44,0.36,0.65,0.37,0.31,0.58
0209_006.2,0.65,0.5,0.89,0.6,0.46,0.82,0.5,0.4,0.74
0209_006.8,0.85,0.57,1.02,0.78,0.53,0.99,0.65,0.46,0.89
0209_007.2,0.78,0.56,0.9,0.71,0.52,0.86,0.6,0.45,0.77
0209_007.7,0.62,0.48,0.75,0.57,0.44,0.69,0.47,0.39,0.62
0209_008.2,0.98,0.74,1.08,0.94,0.68,1.06,0.78,0.59,0.95
0209_008.7,0.94,0.71,1.07,0.89,0.66,1.05,0.74,0.57,0.94
0209_009.2,0.99,0.76,1.07,0.96,0.7,1.05,0.8,0.6,0.96
0209_009.7,1.15,0.91,1.31,1.13,0.86,1.29,0.93,0.74,1.19
0209_010.2,1.07,0.92,1.21,1.05,0.85,1.18,0.87,0.72,1.09
0209_011.2,1.02,0.91,1.11,1.0,0.84,1.09,0.83,0.72,1.0
0209_011.5,0.95,0.91,0.99,0.9,0.87,0.94,0.75,0.74,0.86
0209_011.7,0.95,0.86,1.01,0.9,0.8,0.98,0.75,0.68,0.91
0209_011.9,0.88,0.79,0.95,0.81,0.73,0.9,0.67,0.62,0.83
0209_012.2,0.87,0.77,0.98,0.8,0.71,0.93,0.66,0.6,0.86
0209_013.1,0.6,0.58,0.92,0.55,0.53,0.88,0.46,0.45,0.81
0209_014.0,0.76,0.57,1.09,0.7,0.53,1.07,0.58,0.45,0.98
0209_014.5,0.9,0.75,1.06,0.83,0.69,1.04,0.69,0.59,0.96
0209_015.5,0.59,0.42,0.71,0.54,0.39,0.66,0.45,0.34,0.59
0209_016.0,0.55,0.47,0.7,0.51,0.43,0.64,0.42,0.37,0.58
0209_017.1,0.38,0.35,0.77,0.34,0.31,0.68,0.28,0.27,0.59
0209_017.6,0.09,0.1,0.17,0.08,0.09,0.15,0.07,0.08,0.13
0210_000.0,0.77,0.32,1.06,0.71,0.29,1.04,0.59,0.25,0.93
0210_000.7,0.66,0.28,0.96,0.61,0.26,0.92,0.51,0.23,0.82
0210_001.2,0.52,0.29,0.89,0.48,0.27,0.82,0.4,0.23,0.74
0210_002.2,0.64,0.68,0.97,0.56,0.6,0.88,0.47,0.52,0.77
0210_003.9,0.28,0.27,0.36,0.25,0.24,0.32,0.17,0.19,0.28
0210_010.8,0.24,0.25,0.33,0.21,0.22,0.29,0.14,0.18,0.26
0210_011.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0215_000.0,0.7,0.39,0.72,0.65,0.35,0.66,0.56,0.3,0.6
0215_000.3,1.1,0.6,1.2,1.08,0.55,1.17,0.94,0.47,1.07
0215_000.7,1.19,0.78,1.35,1.16,0.72,1.32,1.02,0.62,1.2
0215_001.8,1.03,0.66,1.11,1.01,0.61,1.09,0.88,0.52,0.99
0215_002.7,1.09,0.71,1.02,1.07,0.66,0.99,0.93,0.56,0.9
0215_003.7,0.88,0.55,1.0,0.81,0.51,0.97,0.71,0.43,0.88
0215_006.3,0.91,0.58,1.0,0.84,0.53,0.97,0.73,0.46,0.88
0215_007.7,0.94,0.77,1.16,0.89,0.71,1.14,0.78,0.61,1.04
0215_009.2,1.05,0.98,1.28,1.03,0.95,1.26,0.9,0.81,1.15
