SiteGroupSeason,SeasonGroup,DOWGroup,Period,HourPercentOf,VolMaxHourPercent
SN0,M01-Jan,W2-Weekend,PM,Period,0.4217095480556932
SN0,M02-Feb,1-Monday,AM,Period,0.5578947368421052
SN0,M02-Feb,1-Monday,EV,Period,0.30231246474901297
SN0,M02-Feb,1-Monday,MD,Period,0.2807308970099668
SN0,M02-Feb,1-Monday,PM,Period,0.416958041958042
SN0,M02-Feb,2-Tuesday,AM,Period,0.5093399750933998
SN0,M02-Feb,2-Tuesday,EV,Period,0.30629888843145325
SN0,M02-Feb,2-Tuesday,MD,Period,0.2650974797907751
SN0,M02-Feb,2-Tuesday,PM,Period,0.39359267734553777
SN0,M02-Feb,3-Wednesday,AM,Period,0.5207317073170732
SN0,M02-Feb,3-Wednesday,EV,Period,0.2950575994054255
SN0,M02-Feb,3-Wednesday,MD,Period,0.26072836928786824
SN0,M02-Feb,3-Wednesday,PM,Period,0.4031413612565445
SN0,M02-Feb,4-Thursday,AM,Period,0.5277419354838709
SN0,M02-Feb,4-Thursday,EV,Period,0.3168724279835391
SN0,M02-Feb,4-Thursday,MD,Period,0.25236518448438977
SN0,M02-Feb,4-Thursday,PM,Period,0.4092471102780381
SN0,M02-Feb,5-Friday,AM,Period,0.5558139534883721
SN0,M02-Feb,5-Friday,EV,Period,0.24970035956851777
SN0,M02-Feb,5-Friday,MD,Period,0.24438356164383562
SN0,M02-Feb,5-Friday,PM,Period,0.4334400301261533
SN0,M02-Feb,6-Saturday,AM,Period,0.562473164448261
SN0,M02-Feb,6-Saturday,EV,Period,0.2587828757918986
SN0,M02-Feb,6-Saturday,MD,Period,0.23333119836034075
SN0,M02-Feb,6-Saturday,PM,Period,0.3988459319099827
SN0,M02-Feb,7-Sunday,AM,Period,0.5858156028368794
SN0,M02-Feb,7-Sunday,EV,Period,0.3828768944429673
SN0,M02-Feb,7-Sunday,MD,Period,0.2844179651695692
SN0,M02-Feb,7-Sunday,PM,Period,0.39538072136680025
SN0,M02-Feb,W1-Weekday,AM,Period,0.5266172506738545
SN0,M02-Feb,W1-Weekday,EV,Period,0.30505202188136865
SN0,M02-Feb,W1-Weekday,MD,Period,0.2634719136781974
SN0,M02-Feb,W1-Weekday,PM,Period,0.4050021195421789
SN0,M02-Feb,W2-Weekend,AM,Period,0.5652285567539805
SN0,M02-Feb,W2-Weekend,EV,Period,0.28892386949055526
SN0,M02-Feb,W2-Weekend,MD,Period,0.25264079004937806
SN0,M02-Feb,W2-Weekend,PM,Period,0.40527751726489897
SN0,M03-Mar,1-Monday,AM,Period,0.510752688172043
SN0,M03-Mar,1-Monday,EV,Period,0.3241940343476951
SN0,M03-Mar,1-Monday,MD,Period,0.2490913496486552
SN0,M03-Mar,1-Monday,PM,Period,0.40527720130447675
SN0,M03-Mar,2-Tuesday,AM,Period,0.5290322580645161
SN0,M03-Mar,2-Tuesday,EV,Period,0.3180428134556575
SN0,M03-Mar,2-Tuesday,MD,Period,0.2509534706331045
SN0,M03-Mar,2-Tuesday,PM,Period,0.3851140456182473
SN0,M03-Mar,3-Wednesday,AM,Period,0.4746450304259635
SN0,M03-Mar,3-Wednesday,EV,Period,0.3144041450777202
SN0,M03-Mar,3-Wednesday,MD,Period,0.25963597430406854
SN0,M03-Mar,3-Wednesday,PM,Period,0.39455468389478543
SN0,M03-Mar,4-Thursday,AM,Period,0.48268839103869654
SN0,M03-Mar,4-Thursday,EV,Period,0.3124292506225945
SN0,M03-Mar,4-Thursday,MD,Period,0.2529820188712836
SN0,M03-Mar,4-Thursday,PM,Period,0.39637546468401486
SN0,M03-Mar,5-Friday,AM,Period,0.5346820809248555
SN0,M03-Mar,5-Friday,EV,Period,0.25075497240445693
SN0,M03-Mar,5-Friday,MD,Period,0.2572533849129594
SN0,M03-Mar,5-Friday,PM,Period,0.41555322023720165
SN0,M03-Mar,6-Saturday,AM,Period,0.508916920400174
SN0,M03-Mar,6-Saturday,EV,Period,0.26423538373643113
SN0,M03-Mar,6-Saturday,MD,Period,0.23437311815006623
SN0,M03-Mar,6-Saturday,PM,Period,0.37209302325581395
SN0,M03-Mar,7-Sunday,AM,Period,0.5130344108446299
SN0,M03-Mar,7-Sunday,EV,Period,0.399199542595769
SN0,M03-Mar,7-Sunday,MD,Period,0.2925950002954908
SN0,M03-Mar,7-Sunday,PM,Period,0.37869942981265275
SN0,M03-Mar,W1-Weekday,AM,Period,0.499341585462207
SN0,M03-Mar,W1-Weekday,EV,Period,0.31673804425410423
SN0,M03-Mar,W1-Weekday,MD,Period,0.2534965034965035
SN0,M03-Mar,W1-Weekday,PM,Period,0.3948442136498516
SN0,M03-Mar,W2-Weekend,AM,Period,0.5160614525139665
SN0,M03-Mar,W2-Weekend,EV,Period,0.3006585788561525
SN0,M03-Mar,W2-Weekend,MD,Period,0.26267143709004176
SN0,M03-Mar,W2-Weekend,PM,Period,0.3839840147556102
SN0,M04-Apr,1-Monday,AM,Period,0.4639927073837739
SN0,M04-Apr,1-Monday,EV,Period,0.2868737755387629
SN0,M04-Apr,1-Monday,MD,Period,0.2616033755274262
SN0,M04-Apr,1-Monday,PM,Period,0.3927920631706823
SN0,M04-Apr,2-Tuesday,AM,Period,0.4619516562220233
SN0,M04-Apr,2-Tuesday,EV,Period,0.290722672399537
SN0,M04-Apr,2-Tuesday,MD,Period,0.24692812657801716
SN0,M04-Apr,2-Tuesday,PM,Period,0.4023518561217431
SN0,M04-Apr,3-Wednesday,AM,Period,0.48357524828113063
SN0,M04-Apr,3-Wednesday,EV,Period,0.3021478455659507
SN0,M04-Apr,3-Wednesday,MD,Period,0.2557610241820768
SN0,M04-Apr,3-Wednesday,PM,Period,0.39591147786946734
SN0,M04-Apr,4-Thursday,AM,Period,0.4896797153024911
SN0,M04-Apr,4-Thursday,EV,Period,0.29207568644188364
SN0,M04-Apr,4-Thursday,MD,Period,0.2430895384208438
SN0,M04-Apr,4-Thursday,PM,Period,0.38863128971320626
SN0,M04-Apr,5-Friday,AM,Period,0.47878787878787876
SN0,M04-Apr,5-Friday,EV,Period,0.23663734776725304
SN0,M04-Apr,5-Friday,MD,Period,0.24884118077579898
SN0,M04-Apr,5-Friday,PM,Period,0.39319497388112384
SN0,M04-Apr,6-Saturday,AM,Period,0.4933277731442869
SN0,M04-Apr,6-Saturday,EV,Period,0.2524220803604957
SN0,M04-Apr,6-Saturday,MD,Period,0.23901766004415012
SN0,M04-Apr,6-Saturday,PM,Period,0.3797554347826087
SN0,M04-Apr,7-Sunday,AM,Period,0.5518262586377097
SN0,M04-Apr,7-Sunday,EV,Period,0.3615668419813172
SN0,M04-Apr,7-Sunday,MD,Period,0.2866950888655113
SN0,M04-Apr,7-Sunday,PM,Period,0.3767584505633709
SN0,M04-Apr,W1-Weekday,AM,Period,0.4760551948051948
SN0,M04-Apr,W1-Weekday,EV,Period,0.2931933407644457
SN0,M04-Apr,W1-Weekday,MD,Period,0.25155465647711095
SN0,M04-Apr,W1-Weekday,PM,Period,0.3944496108854192
SN0,M04-Apr,W2-Weekend,AM,Period,0.5026281208935611
SN0,M04-Apr,W2-Weekend,EV,Period,0.2842019113997571
SN0,M04-Apr,W2-Weekend,MD,Period,0.26023569706392663
SN0,M04-Apr,W2-Weekend,PM,Period,0.38123929351999525
SN0,M05-May,1-Monday,AM,Period,0.528169014084507
SN0,M05-May,1-Monday,EV,Period,0.29364185522678404
SN0,M05-May,1-Monday,MD,Period,0.23418197443334407
SN0,M05-May,1-Monday,PM,Period,0.3973520249221184
SN0,M05-May,2-Tuesday,AM,Period,0.47322330751094643
SN0,M05-May,2-Tuesday,EV,Period,0.27867203219315895
SN0,M05-May,2-Tuesday,MD,Period,0.22581882334892997
SN0,M05-May,2-Tuesday,PM,Period,0.38966419537723507
SN0,M05-May,3-Wednesday,AM,Period,0.47593582887700536
SN0,M05-May,3-Wednesday,EV,Period,0.2785276073619632
SN0,M05-May,3-Wednesday,MD,Period,0.23594994311717862
SN0,M05-May,3-Wednesday,PM,Period,0.39325239067368645
SN0,M05-May,4-Thursday,AM,Period,0.5
SN0,M05-May,4-Thursday,EV,Period,0.26570605187319885
SN0,M05-May,4-Thursday,MD,Period,0.22843174125611132
SN0,M05-May,4-Thursday,PM,Period,0.3879310344827586
SN0,M05-May,5-Friday,AM,Period,0.4813837584286133
SN0,M05-May,5-Friday,EV,Period,0.2578376487053884
SN0,M05-May,5-Friday,MD,Period,0.2311155285313377
SN0,M05-May,5-Friday,PM,Period,0.40673285554605826
SN0,M05-May,6-Saturday,AM,Period,0.5089697590978985
SN0,M05-May,6-Saturday,EV,Period,0.2522180856615984
SN0,M05-May,6-Saturday,MD,Period,0.2116020517093238
SN0,M05-May,6-Saturday,PM,Period,0.3662106822340333
SN0,M05-May,7-Sunday,AM,Period,0.558983666061706
SN0,M05-May,7-Sunday,EV,Period,0.3144232120275397
SN0,M05-May,7-Sunday,MD,Period,0.25853139609753367
SN0,M05-May,7-Sunday,PM,Period,0.3598709360642514
SN0,M05-May,W1-Weekday,AM,Period,0.4917046490428441
SN0,M05-May,W1-Weekday,EV,Period,0.2779980085295057
SN0,M05-May,W1-Weekday,MD,Period,0.23086060705361897
SN0,M05-May,W1-Weekday,PM,Period,0.39163990927033315
SN0,M05-May,W2-Weekend,AM,Period,0.5138764547896151
SN0,M05-May,W2-Weekend,EV,Period,0.27473219177283803
SN0,M05-May,W2-Weekend,MD,Period,0.2336351280252543
SN0,M05-May,W2-Weekend,PM,Period,0.3727428160057592
SN0,M06-Jun,1-Monday,AM,Period,0.4624648735447611
SN0,M06-Jun,1-Monday,EV,Period,0.24819826668693934
SN0,M06-Jun,1-Monday,MD,Period,0.21174795026752377
SN0,M06-Jun,1-Monday,PM,Period,0.38091063183119994
SN0,M06-Jun,2-Tuesday,AM,Period,0.4478213108751373
SN0,M06-Jun,2-Tuesday,EV,Period,0.246415770609319
SN0,M06-Jun,2-Tuesday,MD,Period,0.20807000486144872
SN0,M06-Jun,2-Tuesday,PM,Period,0.38567016676961086
SN0,M06-Jun,3-Wednesday,AM,Period,0.4520131370879455
SN0,M06-Jun,3-Wednesday,EV,Period,0.2626504681230495
SN0,M06-Jun,3-Wednesday,MD,Period,0.20973318301390453
SN0,M06-Jun,3-Wednesday,PM,Period,0.37397044219872655
SN0,M06-Jun,4-Thursday,AM,Period,0.4383109742687486
SN0,M06-Jun,4-Thursday,EV,Period,0.25790656143787083
SN0,M06-Jun,4-Thursday,MD,Period,0.21073074391046742
SN0,M06-Jun,4-Thursday,PM,Period,0.37317009637926546
SN0,M06-Jun,5-Friday,AM,Period,0.4555976430976431
SN0,M06-Jun,5-Friday,EV,Period,0.2364447885591966
SN0,M06-Jun,5-Friday,MD,Period,0.21162187968899196
SN0,M06-Jun,5-Friday,PM,Period,0.37499484727317695
SN0,M06-Jun,6-Saturday,AM,Period,0.478176332551123
SN0,M06-Jun,6-Saturday,EV,Period,0.24290561035342756
SN0,M06-Jun,6-Saturday,MD,Period,0.2070806067368294
SN0,M06-Jun,6-Saturday,PM,Period,0.36162705357646924
SN0,M06-Jun,7-Sunday,AM,Period,0.5281590763309814
SN0,M06-Jun,7-Sunday,EV,Period,0.2755167819846147
SN0,M06-Jun,7-Sunday,MD,Period,0.2360987113619136
SN0,M06-Jun,7-Sunday,PM,Period,0.36059214127615014
SN0,M06-Jun,W1-Weekday,AM,Period,0.4495618689548528
SN0,M06-Jun,W1-Weekday,EV,Period,0.25426581237217655
SN0,M06-Jun,W1-Weekday,MD,Period,0.21011955077889144
SN0,M06-Jun,W1-Weekday,PM,Period,0.3781764900234152
SN0,M06-Jun,W2-Weekend,AM,Period,0.4836096107282548
SN0,M06-Jun,W2-Weekend,EV,Period,0.25204878554809645
SN0,M06-Jun,W2-Weekend,MD,Period,0.21871727587438863
SN0,M06-Jun,W2-Weekend,PM,Period,0.36438811429470414
SN0,M07-Jul,1-Monday,AM,Period,0.42595493432943726
SN0,M07-Jul,1-Monday,EV,Period,0.2445389985916759
SN0,M07-Jul,1-Monday,MD,Period,0.2079359619774241
SN0,M07-Jul,1-Monday,PM,Period,0.37979706650592726
SN0,M07-Jul,2-Tuesday,AM,Period,0.42312579415501905
SN0,M07-Jul,2-Tuesday,EV,Period,0.24646316816502892
SN0,M07-Jul,2-Tuesday,MD,Period,0.20628153479094144
SN0,M07-Jul,2-Tuesday,PM,Period,0.36917493032600945
SN0,M07-Jul,3-Wednesday,AM,Period,0.40580486237549535
SN0,M07-Jul,3-Wednesday,EV,Period,0.23136895843737862
SN0,M07-Jul,3-Wednesday,MD,Period,0.21964812917997228
SN0,M07-Jul,3-Wednesday,PM,Period,0.37273593898951385
SN0,M07-Jul,4-Thursday,AM,Period,0.4203950880939669
SN0,M07-Jul,4-Thursday,EV,Period,0.23164457357302826
SN0,M07-Jul,4-Thursday,MD,Period,0.21060445387062565
SN0,M07-Jul,4-Thursday,PM,Period,0.3744570372959209
SN0,M07-Jul,5-Friday,AM,Period,0.4133447026220422
SN0,M07-Jul,5-Friday,EV,Period,0.22949897250220178
SN0,M07-Jul,5-Friday,MD,Period,0.20082324071875246
SN0,M07-Jul,5-Friday,PM,Period,0.37782561894510225
SN0,M07-Jul,6-Saturday,AM,Period,0.4440696676070158
SN0,M07-Jul,6-Saturday,EV,Period,0.24707509881422926
SN0,M07-Jul,6-Saturday,MD,Period,0.20062931413263788
SN0,M07-Jul,6-Saturday,PM,Period,0.36623879114271524
SN0,M07-Jul,7-Sunday,AM,Period,0.47932974559686886
SN0,M07-Jul,7-Sunday,EV,Period,0.2662884219714446
SN0,M07-Jul,7-Sunday,MD,Period,0.2314989860103805
SN0,M07-Jul,7-Sunday,PM,Period,0.36303198062379516
SN0,M07-Jul,W1-Weekday,AM,Period,0.4184279200481776
SN0,M07-Jul,W1-Weekday,EV,Period,0.23809233349853226
SN0,M07-Jul,W1-Weekday,MD,Period,0.21144755024364226
SN0,M07-Jul,W1-Weekday,PM,Period,0.3743309826420707
SN0,M07-Jul,W2-Weekend,AM,Period,0.44407039924403496
SN0,M07-Jul,W2-Weekend,EV,Period,0.2485511451147264
SN0,M07-Jul,W2-Weekend,MD,Period,0.2114523698076069
SN0,M07-Jul,W2-Weekend,PM,Period,0.36769809559917177
SN0,M08-Aug,1-Monday,AM,Period,0.4910076699285903
SN0,M08-Aug,1-Monday,EV,Period,0.2755493919351398
SN0,M08-Aug,1-Monday,MD,Period,0.21326255476912706
SN0,M08-Aug,1-Monday,PM,Period,0.39068369646882045
SN0,M08-Aug,2-Tuesday,AM,Period,0.4187911773130908
SN0,M08-Aug,2-Tuesday,EV,Period,0.25969359551449106
SN0,M08-Aug,2-Tuesday,MD,Period,0.21592794501066603
SN0,M08-Aug,2-Tuesday,PM,Period,0.3809805857189865
SN0,M08-Aug,3-Wednesday,AM,Period,0.4611059044048735
SN0,M08-Aug,3-Wednesday,EV,Period,0.26633451957295373
SN0,M08-Aug,3-Wednesday,MD,Period,0.20799671929464836
SN0,M08-Aug,3-Wednesday,PM,Period,0.3851762617296475
SN0,M08-Aug,4-Thursday,AM,Period,0.4322352672973897
SN0,M08-Aug,4-Thursday,EV,Period,0.24216373027665747
SN0,M08-Aug,4-Thursday,MD,Period,0.21296228487733432
SN0,M08-Aug,4-Thursday,PM,Period,0.3801412546738679
SN0,M08-Aug,5-Friday,AM,Period,0.4338218965134355
SN0,M08-Aug,5-Friday,EV,Period,0.25617955551209015
SN0,M08-Aug,5-Friday,MD,Period,0.2067418418927407
SN0,M08-Aug,5-Friday,PM,Period,0.3881507478900309
SN0,M08-Aug,6-Saturday,AM,Period,0.43780200718622225
SN0,M08-Aug,6-Saturday,EV,Period,0.229338152957586
SN0,M08-Aug,6-Saturday,MD,Period,0.2021148329337417
SN0,M08-Aug,6-Saturday,PM,Period,0.3625688454743843
SN0,M08-Aug,7-Sunday,AM,Period,0.48830072880705794
SN0,M08-Aug,7-Sunday,EV,Period,0.2858820428020227
SN0,M08-Aug,7-Sunday,MD,Period,0.22830385792105068
SN0,M08-Aug,7-Sunday,PM,Period,0.3608586856315027
SN0,M08-Aug,W1-Weekday,AM,Period,0.45062690833495744
SN0,M08-Aug,W1-Weekday,EV,Period,0.2609412278944397
SN0,M08-Aug,W1-Weekday,MD,Period,0.21257630651645243
SN0,M08-Aug,W1-Weekday,PM,Period,0.3840882527178699
SN0,M08-Aug,W2-Weekend,AM,Period,0.448694227911068
SN0,M08-Aug,W2-Weekend,EV,Period,0.2552291228254113
SN0,M08-Aug,W2-Weekend,MD,Period,0.21190497129288793
SN0,M08-Aug,W2-Weekend,PM,Period,0.3680210377424271
SN0,M09-Sep,1-Monday,AM,Period,0.45919881305637983
SN0,M09-Sep,1-Monday,EV,Period,0.3522771255321894
SN0,M09-Sep,1-Monday,MD,Period,0.22476489028213167
SN0,M09-Sep,1-Monday,PM,Period,0.4035114503816794
SN0,M09-Sep,2-Tuesday,AM,Period,0.5317094579767391
SN0,M09-Sep,2-Tuesday,EV,Period,0.3349022647987153
SN0,M09-Sep,2-Tuesday,MD,Period,0.23166833166833167
SN0,M09-Sep,2-Tuesday,PM,Period,0.40625
SN0,M09-Sep,3-Wednesday,AM,Period,0.5135467980295566
SN0,M09-Sep,3-Wednesday,EV,Period,0.34304867385601867
SN0,M09-Sep,3-Wednesday,MD,Period,0.22538110876917797
SN0,M09-Sep,3-Wednesday,PM,Period,0.37423270089285715
SN0,M09-Sep,4-Thursday,AM,Period,0.4460712542703758
SN0,M09-Sep,4-Thursday,EV,Period,0.31553854839721474
SN0,M09-Sep,4-Thursday,MD,Period,0.21495810489293474
SN0,M09-Sep,4-Thursday,PM,Period,0.38004855440300156
SN0,M09-Sep,5-Friday,AM,Period,0.4571754853444994
SN0,M09-Sep,5-Friday,EV,Period,0.3088743757203227
SN0,M09-Sep,5-Friday,MD,Period,0.22036173519853045
SN0,M09-Sep,5-Friday,PM,Period,0.3966620191913393
SN0,M09-Sep,6-Saturday,AM,Period,0.45937067773167356
SN0,M09-Sep,6-Saturday,EV,Period,0.2975666472884312
SN0,M09-Sep,6-Saturday,MD,Period,0.21135404051975257
SN0,M09-Sep,6-Saturday,PM,Period,0.3748498197837405
SN0,M09-Sep,7-Sunday,AM,Period,0.4824091778202677
SN0,M09-Sep,7-Sunday,EV,Period,0.3818303721086155
SN0,M09-Sep,7-Sunday,MD,Period,0.25912622912925193
SN0,M09-Sep,7-Sunday,PM,Period,0.36079063974026504
SN0,M09-Sep,W1-Weekday,AM,Period,0.49257227393207176
SN0,M09-Sep,W1-Weekday,EV,Period,0.3367338203401438
SN0,M09-Sep,W1-Weekday,MD,Period,0.22425203090945117
SN0,M09-Sep,W1-Weekday,PM,Period,0.3906807412963539
SN0,M09-Sep,W2-Weekend,AM,Period,0.4643116270633049
SN0,M09-Sep,W2-Weekend,EV,Period,0.33113545029013897
SN0,M09-Sep,W2-Weekend,MD,Period,0.23155032852052482
SN0,M09-Sep,W2-Weekend,PM,Period,0.37343656938653963
SN0,M10-Oct,1-Monday,AM,Period,0.47269969666329625
SN0,M10-Oct,1-Monday,EV,Period,0.40166464041896566
SN0,M10-Oct,1-Monday,MD,Period,0.2418625678119349
SN0,M10-Oct,1-Monday,PM,Period,0.38848920863309355
SN0,M10-Oct,2-Tuesday,AM,Period,0.4638888888888889
SN0,M10-Oct,2-Tuesday,EV,Period,0.41720314735336195
SN0,M10-Oct,2-Tuesday,MD,Period,0.24253055019587208
SN0,M10-Oct,2-Tuesday,PM,Period,0.3743648464896586
SN0,M10-Oct,3-Wednesday,AM,Period,0.4585595367354325
SN0,M10-Oct,3-Wednesday,EV,Period,0.3883992949847781
SN0,M10-Oct,3-Wednesday,MD,Period,0.23972152176296457
SN0,M10-Oct,3-Wednesday,PM,Period,0.38533947526537154
SN0,M10-Oct,4-Thursday,AM,Period,0.4760889430399025
SN0,M10-Oct,4-Thursday,EV,Period,0.3715893709482083
SN0,M10-Oct,4-Thursday,MD,Period,0.24185486030527537
SN0,M10-Oct,4-Thursday,PM,Period,0.3761961722488038
SN0,M10-Oct,5-Friday,AM,Period,0.4622392007052601
SN0,M10-Oct,5-Friday,EV,Period,0.36322112997716216
SN0,M10-Oct,5-Friday,MD,Period,0.24810045303749154
SN0,M10-Oct,5-Friday,PM,Period,0.38004134230549325
SN0,M10-Oct,6-Saturday,AM,Period,0.46421663442940037
SN0,M10-Oct,6-Saturday,EV,Period,0.37695086705202313
SN0,M10-Oct,6-Saturday,MD,Period,0.24152073954211192
SN0,M10-Oct,6-Saturday,PM,Period,0.3697902662005916
SN0,M10-Oct,7-Sunday,AM,Period,0.5220017256255393
SN0,M10-Oct,7-Sunday,EV,Period,0.5270100916826067
SN0,M10-Oct,7-Sunday,MD,Period,0.28651941160771754
SN0,M10-Oct,7-Sunday,PM,Period,0.36838227735325363
SN0,M10-Oct,W1-Weekday,AM,Period,0.46794385432473445
SN0,M10-Oct,W1-Weekday,EV,Period,0.39311100090916606
SN0,M10-Oct,W1-Weekday,MD,Period,0.24147107275108062
SN0,M10-Oct,W1-Weekday,PM,Period,0.38058351337584095
SN0,M10-Oct,W2-Weekend,AM,Period,0.47797138404873213
SN0,M10-Oct,W2-Weekend,EV,Period,0.4316390253890254
SN0,M10-Oct,W2-Weekend,MD,Period,0.2613121071171399
SN0,M10-Oct,W2-Weekend,PM,Period,0.3709904478609094
SN0,M11-Nov,1-Monday,AM,Period,0.5383129426915647
SN0,M11-Nov,1-Monday,EV,Period,0.27769835596854897
SN0,M11-Nov,1-Monday,MD,Period,0.27518277822908205
SN0,M11-Nov,1-Monday,PM,Period,0.4123767798466594
SN0,M11-Nov,2-Tuesday,AM,Period,0.4802955665024631
SN0,M11-Nov,2-Tuesday,EV,Period,0.27419354838709675
SN0,M11-Nov,2-Tuesday,MD,Period,0.2832214765100671
SN0,M11-Nov,2-Tuesday,PM,Period,0.41994692613887663
SN0,M11-Nov,3-Wednesday,AM,Period,0.4901129943502825
SN0,M11-Nov,3-Wednesday,EV,Period,0.32977155490051585
SN0,M11-Nov,3-Wednesday,MD,Period,0.2801427815970386
SN0,M11-Nov,3-Wednesday,PM,Period,0.41665141811527906
SN0,M11-Nov,4-Thursday,AM,Period,0.5256849315068494
SN0,M11-Nov,4-Thursday,EV,Period,0.30546332629037126
SN0,M11-Nov,4-Thursday,MD,Period,0.25400976290097627
SN0,M11-Nov,4-Thursday,PM,Period,0.4087939698492462
SN0,M11-Nov,5-Friday,AM,Period,0.5201958384332925
SN0,M11-Nov,5-Friday,EV,Period,0.24785553047404063
SN0,M11-Nov,5-Friday,MD,Period,0.25144312393887946
SN0,M11-Nov,5-Friday,PM,Period,0.4164127564493195
SN0,M11-Nov,6-Saturday,AM,Period,0.5496323529411765
SN0,M11-Nov,6-Saturday,EV,Period,0.2579727504117383
SN0,M11-Nov,6-Saturday,MD,Period,0.24735021143390631
SN0,M11-Nov,6-Saturday,PM,Period,0.40867382271468145
SN0,M11-Nov,7-Sunday,AM,Period,0.5936
SN0,M11-Nov,7-Sunday,EV,Period,0.3494897959183674
SN0,M11-Nov,7-Sunday,MD,Period,0.2898991205380238
SN0,M11-Nov,7-Sunday,PM,Period,0.4006963586246917
SN0,M11-Nov,W1-Weekday,AM,Period,0.5096171802054155
SN0,M11-Nov,W1-Weekday,EV,Period,0.30150687635717577
SN0,M11-Nov,W1-Weekday,MD,Period,0.2736933509758518
SN0,M11-Nov,W1-Weekday,PM,Period,0.41483625631420623
SN0,M11-Nov,W2-Weekend,AM,Period,0.5560894088155421
SN0,M11-Nov,W2-Weekend,EV,Period,0.2855335301560523
SN0,M11-Nov,W2-Weekend,MD,Period,0.26459065288274397
SN0,M11-Nov,W2-Weekend,PM,Period,0.4062985360695284
SN0,M12-Dec,1-Monday,AM,Period,0.48891625615763545
SN0,M12-Dec,1-Monday,EV,Period,0.2480916030534351
SN0,M12-Dec,1-Monday,MD,Period,0.2767460637868389
SN0,M12-Dec,1-Monday,PM,Period,0.4114184814596822
SN0,M12-Dec,2-Tuesday,AM,Period,0.5154894671623296
SN0,M12-Dec,2-Tuesday,EV,Period,0.25125208681135225
SN0,M12-Dec,2-Tuesday,MD,Period,0.26241782322863405
SN0,M12-Dec,2-Tuesday,PM,Period,0.4273324572930355
SN0,M12-Dec,3-Wednesday,AM,Period,0.5010940919037199
SN0,M12-Dec,3-Wednesday,EV,Period,0.2648469199557359
SN0,M12-Dec,3-Wednesday,MD,Period,0.2635601118359739
SN0,M12-Dec,3-Wednesday,PM,Period,0.4253551326722058
SN0,M12-Dec,4-Thursday,AM,Period,0.4966216216216216
SN0,M12-Dec,4-Thursday,EV,Period,0.22295463357890655
SN0,M12-Dec,4-Thursday,MD,Period,0.25905673274094326
SN0,M12-Dec,4-Thursday,PM,Period,0.42846385542168675
SN0,M12-Dec,5-Friday,AM,Period,0.5
SN0,M12-Dec,5-Friday,EV,Period,0.23366619115549214
SN0,M12-Dec,5-Friday,MD,Period,0.25652946807055926
SN0,M12-Dec,5-Friday,PM,Period,0.4337964854924397
SN0,M12-Dec,6-Saturday,AM,Period,0.5077380952380952
SN0,M12-Dec,6-Saturday,EV,Period,0.20934734513274336
SN0,M12-Dec,6-Saturday,MD,Period,0.2349871426410528
SN0,M12-Dec,6-Saturday,PM,Period,0.43102469486233325
SN0,M12-Dec,7-Sunday,AM,Period,0.5659259259259259
SN0,M12-Dec,7-Sunday,EV,Period,0.22670118343195267
