STATIONGROUP,FACTOR,SEASONGROUP
COC,0.9905638888346208,S02-Spring
COD,0.925192281808628,S02-Spring
COE,0.9742249174431452,S02-Spring
COF,1.0119359440436526,S02-Spring
COG,1.011613261907243,S02-Spring
COH,0.926238854297973,S02-Spring
COI,0.9888379844262624,S02-Spring
COJ,1.2456448527964323,S02-Spring
COK,0.9087650848605476,S02-Spring
COL,0.8718897605488864,S02-Spring
COM,0.4261281626599124,S02-Spring
CON,1.0068214600962655,S02-Spring
COO,1.046871869751462,S02-Spring
COP,1.0275637125228323,S02-Spring
COQ,0.9859401699362924,S02-Spring
COR,0.9654021561782492,S02-Spring
COS,1.0107418618654127,S02-Spring
COT,1.0104067920064892,S02-Spring
COU,1.0117432414697418,S02-Spring
COV,1.0232479158974528,S02-Spring
COW,1.0469485042537612,S02-Spring
COX,1.0232415611030208,S02-Spring
COY,0.9158899249073638,S02-Spring
COZ,0.944969871349148,S02-Spring
XX3,1.0112179715526015,S02-Spring
CO0,1.9087888159970536,S03-Summer
CO1,2.131859210701428,S03-Summer
CO2,1.2650865879640216,S03-Summer
CO3,1.6935253894475892,S03-Summer
CO4,1.1233687870530336,S03-Summer
CO5,1.112284142142456,S03-Summer
CO6,1.0373706241235765,S03-Summer
CO7,1.2369616029955826,S03-Summer
CO8,1.0069743736144126,S03-Summer
CO9,1.286119945430439,S03-Summer
COA,1.1850775719227025,S03-Summer
COB,1.065903508908252,S03-Summer
COC,1.0439354704634662,S03-Summer
COD,1.1470063806460784,S03-Summer
COE,1.217372862134663,S03-Summer
COF,1.0389725281084436,S03-Summer
COG,1.0302220441138012,S03-Summer
COH,1.1616633051128806,S03-Summer
COI,0.94191996002992,S03-Summer
COJ,1.1772218911539565,S03-Summer
COK,1.063539964547289,S03-Summer
COL,1.620851848781644,S03-Summer
COM,2.0898702864011858,S03-Summer
CON,1.377221637279491,S03-Summer
COO,1.1964884836405965,S03-Summer
COP,1.0913556919025091,S03-Summer
COQ,1.173745757076098,S03-Summer
COR,1.1317875220380182,S03-Summer
COS,1.0575285272029755,S03-Summer
COT,1.0282708082037846,S03-Summer
COU,1.0134941362599883,S03-Summer
COV,0.9597515321703955,S03-Summer
COW,1.0240739232410707,S03-Summer
COX,0.9256793072079912,S03-Summer
COY,1.30882824594114,S03-Summer
COZ,1.2050384607350628,S03-Summer
XX3,1.025387807084719,S03-Summer
CO0,1.1078779487978976,S04-Fall
CO1,0.7660195276866907,S04-Fall
CO2,0.8386991555650524,S04-Fall
CO3,1.15991540731341,S04-Fall
CO4,1.0062196473124758,S04-Fall
CO5,1.0138025674637423,S04-Fall
CO6,1.013134971273414,S04-Fall
CO7,0.984139086788481,S04-Fall
CO8,1.0113587127124335,S04-Fall
CO9,0.994121280831498,S04-Fall
COA,1.0282094677575204,S04-Fall
COB,1.0250095491256306,S04-Fall
COC,1.012474373947364,S04-Fall
COD,0.9798893555165372,S04-Fall
COE,1.0134438782710609,S04-Fall
COF,1.0035377209337133,S04-Fall
COG,1.016523288850828,S04-Fall
COH,0.9930390456168172,S04-Fall
COI,0.7781234017157156,S04-Fall
COJ,1.0826577503230057,S04-Fall
COK,0.928446255414854,S04-Fall
COL,0.9352884976885518,S04-Fall
COM,1.187267201252711,S04-Fall
CON,1.0295233684624256,S04-Fall
COO,1.031216301596735,S04-Fall
COP,1.0315747969838431,S04-Fall
COQ,1.003014009429169,S04-Fall
COR,1.016221754875105,S04-Fall
COS,1.0323676111368902,S04-Fall
COT,1.024274132842,S04-Fall
COU,1.0094997368319047,S04-Fall
COV,1.012721434796596,S04-Fall
COW,1.020206678413195,S04-Fall
COX,1.0821695573109829,S04-Fall
